values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
50,5,x,#ed1c24,59,55,150,,,,,0,20,20,193,,,4.280295318343935,,,,,,,,,,,380.8687938017865,385.15577180845867,385.1390910668779,385.6395173981982,385.6395173981982,None,2,2.925041240225255,385.6395173981982,None,385.1390910668779,385.6395173981982,385.6395173981982,None,990,390.57705074407386,None,388.5920282023344,390.59373061052975,390.57705074407386,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,4,x,#ed1c24,9,4,100,,,,,0,21,21,24,,,2.5113498477982255,,,,,,,,,,,391.5945861902492,394.1133901288904,394.0967099707268,394.59715088744815,394.59715088744815,None,4,1.7782388709747465,394.59715088744815,None,394.0967099707268,394.59715088744815,394.59715088744815,None,990,398.3836897276469,None,396.3986709781111,398.40037309459876,398.3836897276469,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,2,o,#3ced1d,59,52,251,,,,,0,22,22,208,,,3.429298640830908,,,,,,,,,,,399.38454559907404,402.82079586708096,402.80411716745584,403.30454641585675,403.30454641585675,None,4,0.8996792669968272,403.30454641585675,None,402.80411716745584,403.30454641585675,403.30454641585675,None,1040,406.2236925280449,None,404.2386804877933,406.2403712276682,406.2236925280449,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,2,x,#ed1c24,59,52,250,,,,,0,23,23,209,,,4.292449032915199,,,,,,,,,,,407.2579078406743,411.56156425526206,411.54489459858814,412.0453092615844,412.0453092615844,None,4,0.6997341081114428,412.0453092615844,None,411.54489459858814,412.0453092615844,412.0453092615844,None,990,414.7642896835987,None,412.779276768224,414.780968383222,414.7642896835987,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,5,o,#3ced1d,59,55,151,,,,,0,24,24,181,,,4.050278265560925,,,,,,,,,,,415.7984971201131,419.8519552461512,419.83527012894956,420.33569791880836,420.33569791880836,None,4,1.319196869388179,420.33569791880836,None,419.83527012894956,420.33569791880836,420.33569791880836,None,1040,423.68854739599556,None,421.70353710599375,423.70522726245144,423.68854739599556,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,4,x,#ed1c24,9,4,100,,,,,0,25,25,27,,,4.128873862264316,,,,,,,,,,,424.7227662091227,428.8595892458907,428.82625751695196,429.32672672935405,429.32672672935405,None,2,1.6259246780628018,429.32672672935405,None,428.82625751695196,429.32672672935405,429.32672672935405,None,1040,432.979800967596,None,430.99476938290536,432.9964636232762,432.979800967596,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,4,o,#3ced1d,59,54,151,,,,,0,26,26,70,,,3.8239838012190353,,,,,,,,,,,433.98063962824745,437.8172326532167,437.78386941980716,438.2842951677103,438.2842951677103,None,4,1.466170762976617,438.2842951677103,None,437.78386941980716,438.2842951677103,438.2842951677103,None,1090,441.77059553657455,None,439.7855732865428,441.78727511132274,441.77059553657455,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,5,x,#ed1c24,59,55,150,,,,,0,27,27,195,,,3.9742487147091534,,,,,,,,,,,442.80481055749806,446.7915314235215,446.75816906523687,447.2585942297228,447.2585942297228,None,2,2.097664147768228,447.2585942297228,None,446.75816906523687,447.2585942297228,447.2585942297228,None,1040,451.3787686127962,None,449.39375365546584,451.3954481875444,451.3787686127962,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,4,o,#3ced1d,9,4,101,,,,,0,28,28,4,,,2.6649412445509224,,,,,,,,,,,452.4129848005523,455.0819151217074,455.0652364220841,455.5656601280298,455.5656601280298,None,4,1.2344440117431077,455.5656601280298,None,455.0652364220841,455.5656601280298,455.5656601280298,None,1040,458.81841844644987,None,456.83340873986526,458.8351102729357,458.81841844644987,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,4,x,#ed1c24,59,54,150,,,,,0,29,29,87,,,3.842813224864612,,,,,,,,,,,459.8192819022861,463.6725565439592,463.63919447738226,464.1396205169949,464.1396205169949,None,4,1.148295914483242,464.1396205169949,None,463.63919447738226,464.1396205169949,464.1396205169949,None,990,467.3089838787546,None,465.3239616287228,467.32566432862586,467.3089838787546,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
