Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.

,Offer1,1,9,1,,,,,,,,,,,,,6,1,19,0,,,,,,,,,,,,,0.6508837073348739,393.5364223921679,None,9_1_V2.png,,,,,,,,,,,48,394.1870024877062,None,4,0.9580190638662316,394.1870024877062,None,394.1870024877062,None,None,None,395.18783823834747,None,395.18783823834747,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,6,2,20,2,,,,,,,,,,,,,0.6461552206391843,396.1887049103061,None,7_3_V2.png,,,,,,,,,,,51,396.8392657529512,None,4,0.5097130852009286,396.8392657529512,None,396.8392657529512,None,None,None,397.3897310895736,None,397.3897310895736,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,7,0,21,2,,,,,,,,,,,,,0.5282358143686909,398.39059280245056,None,7_3_V2.png,,,,,,,,,,,54,398.9243845491437,None,4,0.2365690642145637,398.9243845491437,None,398.9243845491437,None,None,None,399.17460041492814,None,399.17460041492814,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,7,1,22,0,,,,,,,,,,,,,0.5714727708237953,400.1754516262263,None,9_1_V2.png,,,,,,,,,,,55,400.75930760757547,None,4,0.22762872018211056,400.75930760757547,None,400.75930760757547,None,None,None,401.0261906456617,None,401.0261906456617,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,7,2,23,1,,,,,,,,,,,,,0.5953152899990055,402.0270520668273,None,5_5_V2.png,,,,,,,,,,,60,402.6275667608679,None,4,0.3413412733025325,402.6275667608679,None,402.6275667608679,None,None,None,403.01122531253714,None,403.01122531253714,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,8,0,24,0,,,,,,,,,,,,,0.6477550726968144,404.01209169278445,None,9_1_V2.png,,,,,,,,,,,61,404.6626481597741,None,4,1.4172049698136107,404.6626481597741,None,404.6626481597741,None,None,None,406.09721019726567,None,406.09721019726567,None,407.0980704515896,None,space,408.0822483646698,None,2.834298797915835,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,8,1,25,1,,,,,,,,,,,,,0.5577543025939558,410.93470059999163,None,5_5_V2.png,,,,,,,,,,,66,411.5018786157525,None,4,0.600903835875215,411.5018786157525,None,411.5018786157525,None,None,None,412.13573086320685,None,412.13573086320685,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,8,2,26,1,,,,,,,,,,,,,0.5772354319686699,413.1365940346368,None,5_5_V2.png,,,,,,,,,,,71,413.72043251335344,None,4,0.468327238530037,413.72043251335344,None,413.72043251335344,None,None,None,414.2041757777588,None,414.2041757777588,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,9,0,27,1,,,,,,,,,,,,,0.6715571691051113,415.2050465336615,None,5_5_V2.png,,,,,,,,,,,76,415.88895834840514,None,4,1.1537611987660057,415.88895834840514,None,415.88895834840514,None,None,None,417.0566256793936,None,417.0566256793936,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,9,1,28,2,,,,,,,,,,,,,0.673298444260862,418.0574879756932,None,7_3_V2.png,,,,,,,,,,,79,418.7414073749096,None,4,0.7602880466365605,418.7414073749096,None,418.7414073749096,None,None,None,419.54209091099983,None,419.54209091099983,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,9,2,29,0,,,,,,,,,,,,,0.662876736764159,420.54295612440546,None,9_1_V2.png,,,,,,,,,,,80,421.21019639119186,None,4,0.9434580415254459,421.21019639119186,None,421.21019639119186,None,None,None,422.19437197058505,None,422.19437197058505,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,10,0,30,1,,,,,,,,,,,,,0.566825377131817,423.1952333917543,None,5_5_V2.png,,,,,,,,,,,85,423.7623869038325,None,4,0.4612407148561033,423.7623869038325,None,423.7623869038325,None,None,None,424.2461319184986,None,424.2461319184986,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,10,1,31,2,,,,,,,,,,,,,0.5724299698878207,425.2469942147982,None,7_3_V2.png,,,,,,,,,,,88,425.8308309432505,None,4,0.4007889602726209,425.8308309432505,None,425.8308309432505,None,None,None,426.26453185128776,None,426.26453185128776,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,10,2,32,1,,,,,,,,,,,,,0.6246199621540351,427.265391813904,None,5_5_V2.png,,,,,,,,,,,93,427.8992741075417,None,4,0.3433097358974919,427.8992741075417,None,427.8992741075417,None,None,None,428.2829349928943,None,428.2829349928943,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,11,0,33,1,,,,,,,,,,,,,0.6337454694752576,429.2838142084038,None,5_5_V2.png,,,,,,,,,,,98,429.91767841598994,None,4,0.43687442678856314,429.91767841598994,None,429.91767841598994,None,None,None,430.3680572896119,None,430.3680572896119,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,11,1,34,0,,,,,,,,,,,,,0.5907638611833,431.36891637709414,None,9_1_V2.png,,,,,,,,,,,99,431.9694380721885,None,4,0.4120886589953443,431.9694380721885,None,431.9694380721885,None,None,None,432.4198198629201,None,432.4198198629201,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,11,2,35,0,,,,,,,,,,,,,0.660379677328701,433.4206818675084,None,9_1_V2.png,,,,,,,,,,,100,434.0879221342948,None,4,0.4645784666281543,434.0879221342948,None,434.0879221342948,None,None,None,434.5716691909365,None,434.5716691909365,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,12,0,36,1,,,,,,,,,,,,,0.5254260006305304,435.5725306121021,None,5_5_V2.png,,,,,,,,,,,105,436.1063238173483,None,4,0.4681487116868084,436.1063238173483,None,436.1063238173483,None,None,None,436.6067473810217,None,436.6067473810217,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,12,1,37,2,,,,,,,,,,,,,0.6751479893918347,437.60760909389865,None,7_3_V2.png,,,,,,,,,,,108,438.29153257706275,None,4,0.5538976026073215,438.29153257706275,None,438.29153257706275,None,None,None,438.875366680124,None,438.875366680124,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,12,2,38,1,,,,,,,,,,,,,0.5531952289986143,439.8762248924759,None,5_5_V2.png,,,,,,,,,,,113,440.4433851138965,None,4,0.7110455605179595,440.4433851138965,None,440.4433851138965,None,None,None,441.19402045941024,None,441.19402045941024,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,13,0,39,0,,,,,,,,,,,,,0.5196013961917303,442.19488713136525,None,9_1_V2.png,,,,,,,,,,,113,442.7286800449001,None,2,1.001696880099189,442.7286800449001,None,442.7286800449001,None,None,None,443.76289798066136,None,443.76289798066136,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,13,1,40,0,,,,,,,,,,,,,0.6133270587748433,444.76375765156627,None,9_1_V2.png,,,,,,,,,,,113,445.38095497856557,None,2,0.3623995640700741,445.38095497856557,None,445.38095497856557,None,None,None,445.76462490694394,None,445.76462490694394,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,13,2,41,1,,,,,,,,,,,,,0.5601523258257547,446.76547582653075,None,5_5_V2.png,,,,,,,,,,,118,447.332631672296,None,4,0.6236954705527751,447.332631672296,None,447.332631672296,None,None,None,447.9998675634233,None,447.9998675634233,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,14,0,42,1,,,,,,,,,,,,,0.6200230341245055,449.00072927630026,None,5_5_V2.png,,,,,,,,,,,123,449.6346025269122,None,4,0.2526980306029145,449.6346025269122,None,449.6346025269122,None,None,None,449.90150306762735,None,449.90150306762735,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,14,1,43,0,,,,,,,,,,,,,0.5489427954895869,450.90236157169056,None,9_1_V2.png,,,,,,,,,,,123,451.45283945186384,None,2,0.8204294212227978,451.45283945186384,None,451.45283945186384,None,None,None,452.30356417748044,None,452.30356417748044,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
