"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-ID07EN28",3.15384615384615,64,3,3,3.5,-0.215018988626836,-1.21681321043499,-0.504968580422361,-0.881964610528644,-0.551667237284475,10,12,3.83333333333333,4.41666666666667,4.25,2.75,1,26,"-4.87803170350648","0.277473206263048","-1.90963834447594","-0.910838962565069","-1.00502658058623","-1.58365528447892","0.632499015091373"
"sub-IE10NG19",3.46153846153846,95,4,3,3.5,0.169344822473565,0.331223346257415,0.471441417184341,0.391623372440888,0.452427022540669,10,14,3.08333333333333,4.16666666666667,3.41666666666667,3,2,26,"1.73410016887603","1.44860956896842","-1.33303405400892","1.65085734599415","0.848119976940484","-0.0892207639572066","-1.01720388217254"
"sub-IG03UL21",2.84615384615385,87,3,3.2,2.25,-0.291561689493511,-0.332732186675924,-0.452822939812807,-0.389028176584932,-0.419585602993775,12,24,2,4.33333333333333,3.41666666666667,2.83333333333333,2,24,"-1.79769502994905","0.462273649130131","-0.341871198821835","-1.3871481259975","-0.155173726339038","-0.610034047568043","-0.114643280091393"
"sub-IG06AI28",2.61538461538462,75,2.25,2.8,2.75,-0.798117448335545,-0.982251290917959,-1.0372173549493,-1.0916393434029,-1.04002991595064,9,17,4.33333333333333,2.91666666666667,4.16666666666667,1.83333333333333,2,25,"-4.75486204085706","-0.99782020834841","0.150397676679089","-1.19263309958908","-1.94677887462667","-1.34535593079407","-0.07597668806914"
"sub-IG06LF01",3,89,3,3,3,-1.39039199670972,-2.35347164285855,-1.01517867151008,-0.815964284677428,-1.03551704498243,12,16,3.08333333333333,3.16666666666667,3.91666666666667,3.08333333333333,1,22,"-3.69451569262671","-0.86961747748792","-1.00481968562425","-0.229605961600507","-1.95443804976148","0.442038783374997","-0.495339947685055"
"sub-IG06NS07",3.30769230769231,91,3.75,3.2,3,0.519033667588312,0.168843570196906,0.358178940965985,0.305708800310103,0.387244807768146,11,20,3.25,3.91666666666667,3.91666666666667,2.25,1,23,"0.971870900003293","1.28437901090653","0.475427852280866","-0.112813499879935","0.0219886734485639","0.236825480044443","-0.698202580913883"
"sub-IG06RI25",2.84615384615385,76,1.75,3.6,3,-0.934240035576908,-1.49826347648209,-0.972074679169654,-0.986501382747316,-1.00723203684753,15,16,3.25,3.58333333333333,3.58333333333333,2.33333333333333,2,25,"-4.72892925261173","-2.15165999949071","-0.116318691481888","-1.23116261795007","-1.72293498034268","-0.279014486140336","0.700323502545193"
"sub-IG06WE03",2.38461538461538,68,2.75,2.4,2,-0.384169982393679,-0.81987151485745,-1.15524284030013,-1.24907484842332,-1.11583682584373,12,17,2.41666666666667,3.91666666666667,3.5,2.25,1,29,"-5.62658144958049","-0.123495299385013","-0.0274893823436392","-1.86712950327291","-1.45598646017582","-2.10019491611288","-0.945773377915131"
"sub-IG07CH14",3.61538461538462,95,3,4,3.75,-0.638963949310826,-0.953378433535349,0.0983734700921389,0.116276266520406,0.033507895277074,10,13,3.58333333333333,3.83333333333333,4.58333333333333,2.91666666666667,1,22,"0.701330399908017","-0.796720498651551","0.843571087613196","0.446699983616986","-1.61684231951798","1.2786108169798","1.24466908064107"
"sub-IG07EN03",3.23076923076923,91,3,3.6,3,0.117218648922333,1.52562749344619,0.431256266347382,0.227940234836103,0.437458580224773,19,24,4.08333333333333,4,4.08333333333333,3.25,1,23,"1.42291025907089","0.219863783556046","0.604924814505879","-1.02486265238614","0.48401412178069","0.313324539446828","1.69410487883571"
"sub-IG07RT16",3.15384615384615,88,3.5,3,3,0.912085174280585,0.493603122317924,0.377435492244962,0.326591243021359,0.41047319316289,8,23,4.75,4.5,4.16666666666667,1.75,2,20,"0.726253754084559","1.24509678150246","0.605855123715488","-0.353734507599842","0.703874572949133","-0.801180218920033","0.0682721164635662"
"sub-IH05KO24",2.84615384615385,96,3,2.8,2.75,0.704250253388648,0.183279998888211,0.0406797281809918,0.246762119492949,0.0961371157952428,16,23,3.66666666666667,3.83333333333333,4.25,3.41666666666667,1,25,"0.231900938300888","0.270211380316342","0.413685329106415","0.0211552478750044","0.0477768830034818","0.268666243127962","-1.66839340109425"
"sub-IK06ET06",3.53846153846154,96,3.5,3.4,3.75,-0.545045857260406,-0.332732186675924,0.199539431909185,0.136637164456081,0.156782979310064,13,17,4.08333333333333,3.41666666666667,3.58333333333333,3.25,1,19,"1.04979410080961","0.162043561843101","-0.840558875036279","0.75637151296235","-0.573915146833368","1.001909537004","0.377254427933936"
"sub-IK09IM06",2.76923076923077,83,2.75,2.8,2.75,0.388078207872972,-0.715237453562161,-0.417341260985799,-0.301911172514737,-0.376699235743478,17,16,2.66666666666667,2.75,3.41666666666667,3.08333333333333,1,29,"-2.21052612289317","-0.476439209600589","-0.325049173156942","-0.447309283596533","0.744412114200626","-0.45465687112436","-1.45887634487804"
"sub-IK09LD05",2.76923076923077,80,2,3.2,3,0.283261651315082,0.98074245049945,-0.139691236724031,-0.274985730208194,-0.131328297926859,9,21,4.08333333333333,3.33333333333333,3.5,1.41666666666667,2,20,"-1.36418338833117","-1.31029729865433","0.201174991917484","-0.754877581604986","1.47757981332222","-0.470165359599155","0.0280674000105312"
"sub-IM05EN09",3.23076923076923,113,3.5,3.2,3,1.21604895613854,0.331223346257415,0.720243592971066,1.12598717214047,0.784499379884759,16,21,3.66666666666667,3.91666666666667,3.33333333333333,2.5,2,20,"3.55128495017453","0.83873048689796","0.349274073266036","1.06186895865204","1.40557781807286","0.937239190541297","-1.35455831739751"
"sub-IN05CH16",3.07692307692308,93,3.25,3.2,2.75,0.894709783096841,0.699292184452346,0.379512903804356,0.423153136456853,0.422005264228014,9,23,4.5,3.91666666666667,4.75,1.66666666666667,2,28,"1.64450463506327","0.438762681924947","1.11221988516665","0.305342782552186","0.657080533935158","-0.650437742593393","0.287513279017952"
