"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-ER06ED02",2.61538461538462,83,2.25,2.8,2.75,-1.77665843202565,-0.642663768197529,-1.19455848285076,-1.2184543860606,-1.23342907735996,14,18,3.16666666666667,2.41666666666667,2.91666666666667,3.25,2,30,"-4.01611660313643","-1.88610631324591","-2.0281560155126","-0.247626597048641","-0.815962400265906","0.0927016591361211","-1.76361869092198"
"sub-ER06EF14",2.92307692307692,91,3.25,3.2,2.25,0.0241895962216159,-0.535025790289527,-0.291832279346827,-0.156626556613691,-0.243386166386632,16,20,3.16666666666667,4.25,3.58333333333333,2.91666666666667,2,25,"-0.977263910951215","1.05435230619158","-0.209568271416195","-1.23570941408071","-0.108523637443679","-0.376119667719848","-0.185759868789719"
"sub-ER06EL06",3.07692307692308,87,2.5,3.6,3,-0.912832071368254,-0.820247006584468,-0.523379420428873,-0.513880545503241,-0.561362358139232,15,16,3.83333333333333,2.58333333333333,4.16666666666667,3.58333333333333,2,22,"-1.86908679286158","-1.65902887470528","-0.836825723742995","-0.0713154378120121","-0.752635282248749","0.436495220152359","0.967218915290973"
"sub-ER06EL17",3.07692307692308,83,3.75,3,2.5,-0.324545299313715,-0.151881209324075,-0.24276771204759,-0.346512819374748,-0.23755090677306,12,18,3.66666666666667,3.75,4.41666666666667,2.5,1,23,"-0.969478581878655","0.225121010523805","-0.242811359578302","-0.670855107119383","-0.00542930563849076","0.394130864935857","-0.832940943941294"
"sub-ER06EN03",3.23076923076923,93,3.5,3.2,3,-0.45754902682162,-0.670641872389104,-0.156835467773866,-0.129001364759548,-0.159573123000078,12,19,3.91666666666667,4,4.41666666666667,3,1,30,"-0.134535791302646","1.17721569314156","-0.13719313800652","-0.25546672880187","-1.27179687423911","0.00916971746407092","-0.112800949271824"
"sub-ER06EN27",3.38461538461538,97,3.25,3.4,3.5,0.619655143265728,0.189296215354014,0.515624192704927,0.556485928805621,0.507277918590802,12,16,4.5,3.58333333333333,4.83333333333333,2.75,1,24,"1.63005912041633","0.7620956049496","0.263296474874298","0.651909097786312","0.0556843159299405","0.196587657820878","0.473056424814609"
"sub-ER06EN29",2.69230769230769,94,2.75,3,2.25,0.597649632618093,-0.343453499806801,-0.263838825752948,0.0201565058290403,-0.191198312292823,12,23,4.08333333333333,3,4.5,2.16666666666667,1,23,"-0.75485341438323","0.120493902339709","0.553774584292223","-0.65216867685479","0.123188631055416","-0.085673343603057","-1.62399655774699"
"sub-ER06ER15",3.23076923076923,91,3.25,3.4,3,1.28521194155858,0.694067826323255,0.618222712207778,0.615000835773634,0.642311736606071,9,28,4.5,3.75,4.33333333333333,2.08333333333333,1,24,"1.72599111589913","0.728665734246878","1.10216177340965","0.0429315678129135","0.901722990682855","0.00594969546813948","0.355301260446803"
"sub-ER06ER16",3.30769230769231,90,3,3.6,3.25,0.292738084106465,0.857662012614407,0.414073861966535,0.274731764028999,0.400575990437362,11,24,3,4.16666666666667,3.83333333333333,2.25,2,22,"1.43179955790456","0.092122844500505","0.686171240899009","-0.0918082744817923","0.489086339852783","-0.0819348864338629","1.47282780567968"
"sub-ER06ER20",3.92307692307692,106,4,4,3.75,0.322110044015238,0.680078774227468,1.08950888391088,1.05481567087995,1.05000567372315,16,18,3.16666666666667,3.33333333333333,4.16666666666667,3.41666666666667,2,24,"4.64871614776691","0.782729117952129","-0.342697367210453","0.989041723458483","1.2334952417723","2.09796625210405","0.827494121494602"
"sub-ER06ER24",3.46153846153846,97,3,3.4,4,-0.651837707016111,0.558451744223679,0.283161076926128,0.181443553298669,0.228130222289767,11,21,4.08333333333333,3.58333333333333,4.08333333333333,2.66666666666667,1,28,"1.89311581779242","-0.970332612917282","0.927472462304638","1.24714014468899","-0.982973394499874","1.37985169611761","-0.311805032235244"
"sub-ER06ET15",3.38461538461538,77,3.25,3.8,3,0.344021717527089,0.16131811116244,0.241956106848291,-0.0704014458758358,0.212931494726051,15,12,4.08333333333333,4,3.5,3.58333333333333,1,22,"-0.867249316173373","0.837505290292756","-0.68834020086994","-0.659184507110014","0.0147051729178197","-0.538476641010476","1.24572214153629"
"sub-ER06FL20",3.76923076923077,115,3.75,4,3.5,1.28521194155858,1.04923430309713,1.38721403891677,1.59828382294257,1.39277085097422,13,26,4.75,3.16666666666667,4.41666666666667,2.75,1,22,"6.38567737113826","0.591072169017814","1.06030129252122","1.74526015171538","1.5657519485072","1.97573647218525","0.236379073345552"
"sub-ER06IM15",2.92307692307692,88,2.75,3.4,2.5,0.186189935095162,-0.834236058680255,-0.330219168117023,-0.171890781590347,-0.310032408796212,11,19,4.08333333333333,3,3.91666666666667,2.58333333333333,1,25,"-1.57089601867188","-0.433876780020743","0.209449097094602","-0.941330484798864","-0.0791043153201403","0.230633859395244","-0.308414995480104"
"sub-ER06IN09",3.07692307692308,100,3.25,3.2,2.75,0.278099022719969,0.72204593051483,0.259915086559971,0.385173972166527,0.28324402160784,11,18,3.83333333333333,3.33333333333333,4.83333333333333,2.25,2,19,"1.98216138900017","0.116804818690957","0.600812710319977","0.174908195588149","0.558916371173623","0.604095691495329","-0.299148288949153"
"sub-ER06IS22",2.84615384615385,57,2.5,3.2,2.75,0.00227792270976475,-0.371431603998376,-0.627945639766565,-1.07833461563589,-0.6382442364753,12,22,4.33333333333333,3.5,3.16666666666667,2.75,2,26,"-5.04383960445663","-0.402575556947615","-0.80346763290825","-1.28861761025161","-0.23667279029688","-2.05750418671739","0.265383141417774"
"sub-ER06KR20",3.23076923076923,96,3,3.4,3.25,-0.890920397856403,0.0396910811586506,-0.119650521893727,-0.128072139955022,-0.158032803228392,15,20,4.41666666666667,4.08333333333333,3.91666666666667,3.08333333333333,1,21,"0.363126846051387","-0.253360183678111","-0.359138031090703","0.369222021936676","-0.598212722944734","-0.126996139411572","0.909987717743471"
"sub-ER06LF30",3.15384615384615,82,3,3.6,2.75,-0.240284172357397,-0.834236058680255,-0.299660172488787,-0.354020849841729,-0.300196478783541,18,18,4.33333333333333,3.33333333333333,3.91666666666667,4.08333333333333,1,20,"-2.02860872759658","-0.654257284011803","0.386667943313557","-0.704537544245325","-1.29577968964758","1.02827616846649","-0.329055653510816"
"sub-ER06LS23",2.84615384615385,88,2,3.8,2.5,-1.35037199884466,-0.684630924484891,-0.838435525264807,-0.790067812680714,-0.870135285388317,14,11,4.58333333333333,3.08333333333333,4,3.58333333333333,2,26,"-2.51792185701918","-1.75763514246081","-1.82512559713072","-1.12956417457363","0.0108065551177652","1.23439685710863","-0.197885824523285"
"sub-ER06NG02",3.53846153846154,94,3.75,3.6,3.25,-0.876375173605691,-0.955863088684044,-0.0527318172143577,-0.0794449957149696,-0.108731177282974,11,14,3.75,3.25,4.41666666666667,3.83333333333333,1,24,"0.155456822087109","0.446213155568325","-0.274255008588261","0.302033059111248","-1.86188382803118","0.778360598857241","0.697044910199988"
"sub-ER06NK09",2.92307692307692,82,3,3,2.75,-0.310093912198786,-0.535025790289527,-0.46268310940922,-0.50303040138148,-0.445979789925322,12,20,3.16666666666667,4,4.08333333333333,2.08333333333333,1,21,"-2.59014853279039","0.00352690459165263","-0.117629175691534","-1.54792092160643","-0.410610536721277","-0.312353441033067","-0.0879135945693769"
"sub-ER06NS08",3,76,2.25,3.8,2.75,-0.339278197835994,0.84367296051862,-0.190527439548027,-0.493039236078431,-0.207355820833155,9,23,2.91666666666667,4.16666666666667,4.58333333333333,1.91666666666667,2,30,"-1.31207572352033","-1.58493113844409","0.606966599914355","-0.950509556169419","0.136585910892266","-0.159945666119079","1.79848542192075"
"sub-ER06NS19",3.53846153846154,82,4,3.6,3,-1.28783487112862,-1.20339158754992,-0.332504396774647,-0.553514546125393,-0.382325938151844,10,11,2.41666666666667,3.25,3.75,1.91666666666667,2,25,"-1.92013985399325","0.143778675315529","-1.2649614491101","-0.820390422856232","-1.05361976648385","0.253852178077947","1.74104213687383"
"sub-ER06NS25",2.84615384615385,77,2.75,3,2.75,-0.37263103991482,-1.01181929706719,-0.690959707187407,-0.746229605917342,-0.703209158267449,10,18,3.33333333333333,3.5,4.16666666666667,2.66666666666667,1,18,"-3.50481830429318","-0.827573273227671","-1.10624356626613","-0.86114219503799","-0.418213339779508","-0.0465808716892383","-0.838905020402723"
