values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
0,8,x,#ed1c24,9,8,200,,,,,0,12,12,234,,,3.171244208097538,,,,,,,,,,,380.7213838999887,383.89382079998904,383.87727379999706,384.3775672999909,384.3775672999909,None,4,2.288073000003351,384.3775672999909,None,383.87727379999706,384.3775672999909,384.3775672999909,None,1080,388.697771799998,None,386.69898859999375,388.7144732000015,388.697771799998,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,7,x,#ed1c24,59,57,250,,,,,0,13,13,232,,,3.085761606394917,,,,,,,,,,,389.70088289999694,392.80080719999387,392.7847303999879,393.2848360999924,393.2848360999924,None,4,1.872760800004471,393.2848360999924,None,392.7847303999879,393.2848360999924,393.2848360999924,None,1030,397.1882156999927,None,395.18873090000125,397.1882156999927,397.1882156999927,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,4,o,#3ced1d,59,54,151,,,,,0,14,14,69,,,3.8065791853457362,,,,,,,,,,,398.24191209999844,402.05905269998766,402.0423871999956,402.54289040000003,402.54289040000003,None,2,0.9368279000045732,402.54289040000003,None,402.0423871999956,402.54289040000003,402.54289040000003,None,1080,405.5285038000002,None,403.54148899999564,405.5454191999888,405.5285038000002,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,o,#3ced1d,59,55,151,,,,,0,15,15,184,,,4.348345177111515,,,,,,,,,,,406.5781440999999,410.93291599999066,410.9162152999925,411.4169145999913,411.4169145999913,None,2,1.0660419999912847,411.4169145999913,None,410.9162152999925,411.4169145999913,411.4169145999913,None,1130,414.5024584999919,None,412.50692029998754,414.5192483999999,414.5024584999919,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,o,#3ced1d,59,55,151,,,,,0,16,16,175,,,3.6955072135658567,,,,,,,,,,,415.53476260000025,419.2398322999943,419.2233116999996,419.72368819999974,419.72368819999974,None,2,0.877924799991888,419.72368819999974,None,419.2233116999996,419.72368819999974,419.72368819999974,None,1180,422.62593650000053,None,420.63020759999927,422.6427927999903,422.62593650000053,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,o,#3ced1d,9,5,101,,,,,0,17,17,106,,,3.3123587432386117,,,,,,,,,,,423.66493159999663,426.9796626999887,426.9796626999887,427.4799340999889,427.4799340999889,None,2,0.657600700011244,427.4799340999889,None,426.9796626999887,427.4799340999889,427.4799340999889,None,1180,430.16559959998995,None,428.1657516999985,430.16559959998995,430.16559959998995,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,o,#3ced1d,9,5,101,,,,,0,18,18,102,,,2.8674557671297682,,,,,,,,,,,431.1720678999991,434.0523133999959,434.0356441999902,434.5359083999938,434.5359083999938,None,2,0.9237408000044525,434.5359083999938,None,434.0356441999902,434.5359083999938,434.5359083999938,None,1180,437.48850870000024,None,435.4888681000011,437.48850870000024,437.48850870000024,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,x,#ed1c24,59,55,150,,,,,0,19,19,201,,,2.6282327320543146,,,,,,,,,,,438.4891210999922,441.12486799999897,441.10804809999536,441.6083884999971,441.6083884999971,None,2,0.7282222999929218,441.6083884999971,None,441.10804809999536,441.6083884999971,441.6083884999971,None,1130,444.39409149999847,None,442.4061970999901,444.41087649999827,444.39409149999847,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,o,#3ced1d,9,5,101,,,,,0,20,20,112,,,4.04538002780472,,,,,,,,,,,445.41682819998823,449.4651159999921,449.4651159999921,449.9653847999871,449.9653847999871,None,2,0.7863571000052616,449.9653847999871,None,449.4651159999921,449.9653847999871,449.9653847999871,None,1130,452.8012301999988,None,450.8156190000009,452.8179366999975,452.8012301999988,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,5,o,#3ced1d,9,5,101,,,,,0,21,21,116,,,4.42467399970475,,,,,,,,,,,453.8045310999878,458.239075999998,458.2223997999972,458.72265199999674,458.72265199999674,None,2,0.7221792000054847,458.72265199999674,None,458.2223997999972,458.72265199999674,458.72265199999674,None,1130,461.4751086999895,None,459.4752554000006,461.4751086999895,461.4751086999895,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
