"ID","Personality_BISBAS_BAS","Personality_RSTPQ_BAS","Personality_BISBAS_BIS","Personality_RSTPQ_BIS","Personality_PSWQ_Concerns","Personality_BFI_Anxiety","Covariate_Gender","Covariate_Age","Covariate_AGG_Anger","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Covariate_BFI_NegativeEmotionality","Personality_Z_sum_MPQ","Personality_Z_sum_BFI","Personality_Z_AV_notweighted_BAS","Personality_Z_AV_ItemNr_BAS","Personality_Z_AV_Reliability_BAS","Personality_Z_AV_notweighted_BIS","Personality_Z_AV_ItemNr_BIS","Personality_Z_AV_Reliability_BIS","Personality_PCA_BAS","Personality_PCA_BIS","Personality_FactorAnalysis_BAS","Personality_FactorAnalysis_BIS"
"sub-BE04NZ10",3.15384615384615,83,3.28571428571429,65,46,3,2,24,14,2,2.08333333333333,3.08333333333333,2.83333333333333,3.41666666666667,2.75,-1.89398056869697,-3.02049173492358,-0.784731215828349,-0.610520912966371,-0.753459433951223,0.298867710876769,0.354201952417799,0.290496882579221,"8.03488010826957","5.3226290076192","-0.881223960716094","0.268813820667323"
"sub-BE05ED23",3.15384615384615,95,3.71428571428571,70,56,4,1,29,11,NA,3,4.08333333333333,3.83333333333333,4.5,3.08333333333333,1.30968915594654,-0.298351974692076,0.209554474509335,0.29637147284174,0.297129845323547,1.07189695051071,0.967963059188891,1.07621991871207,"-4.62725734131668","15.9114714988145","0.235425282760347","1.08803121453823"
"sub-BE06IO12",2.92307692307692,80,2.85714285714286,40,31,2,2,23,8,3,3.33333333333333,4,3.75,4.16666666666667,2,0.102302204674299,-0.276798631384849,-0.235945565423259,-0.411822391319413,-0.060992401625664,-0.940950847028735,-1.06520286042825,-0.931762985168484,"10.4413966477297","-23.081924307692","-0.492352382608498","-1.05479034604442"
"sub-BIRULD31",3.46153846153846,96,3,45,42,2.25,2,29,9,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,2.33333333333333,-0.121068726927005,-0.341458661306529,0.133205371043475,0.276370788507067,-0.0048202327070434,-0.501567624468671,-0.568337169636844,-0.492720338671413,"-5.47216277957135","-11.8299014433765","0.296730169267247","-0.528770736010705"
"sub-BL05RT22",3,92,3.42857142857143,62,58,3.75,1,26,11,NA,4,4.08333333333333,3.41666666666667,4.08333333333333,3.5,1.23335198566976,1.00883454715561,0.287509132589897,0.213210613166225,0.408735745834996,0.764848004009969,0.651840285347382,0.775167558005767,"-1.87613097549966","11.5533714266438","0.222370030966301","0.820716660172944"
"sub-BY08RD24",3.46153846153846,96,2.57142857142857,46,43,3,1,20,15,7,4.41666666666667,3.41666666666667,4,2.91666666666667,2.33333333333333,2.37004234589425,3.42034268440561,1.0264785736911,0.778665950856245,0.936595326960389,-0.406982647300954,-0.53414196381734,-0.395871653821247,"-6.41578579878696","-10.4025113026326","1.1358284745732","-0.42814235922391"
"sub-CH04ER19",2.92307692307692,86,3.71428571428571,70,66,4.25,1,23,16,NA,2.75,4.25,4.25,3.66666666666667,3.91666666666667,0.569804587622344,-0.984275250576758,-0.196356860066041,-0.1732443415705,0.0615903896692865,1.34020100521234,1.23638712084673,1.34987274863062,"4.15834479306461","22.8799242305788","-0.321141946821581","1.44157607759092"
"sub-CH04OB30",3.30769230769231,95,2.57142857142857,47,38,3,2,23,13,NA,3.25,3,1.91666666666667,3.58333333333333,2.5,-1.6979355535976,-0.65209028428803,-0.209694648491421,-0.0912636232219786,-0.534571514365277,-0.483484380533721,-0.621656513420915,-0.475049530821318,"-3.36512428499966","-13.1656953667597","-0.0921448369076887","-0.550989013779515"
"sub-CH05AN22",3.38461538461538,80,2.57142857142857,50,38,2.5,2,23,9,2,3.16666666666667,4,4.33333333333333,4.16666666666667,2.16666666666667,-0.958513394037147,0.0122796482894255,-0.163356971799375,-0.345668066503649,-0.252558779806995,-0.583989695326314,-0.569070052831835,-0.586524031119871,"10.545559189357","-11.0323556537837","-0.345984153390002","-0.639512082234061"
"sub-CH05EL08",3,94,2,55,39,3.25,2,21,14,NA,3.33333333333333,3.5,2.66666666666667,3.75,2.66666666666667,-2.14421500803648,-0.341458661306529,-0.363275888017757,-0.259500339399258,-0.585421206343444,-0.474200406877292,-0.431204602437722,-0.482672331140785,"-2.5212795227104","-6.74145853791339","-0.231249146443174","-0.519638212554124"
"sub-CH05ER25",3.84615384615385,111,2.71428571428571,46,35,2.25,2,18,9,NA,4.66666666666667,3.83333333333333,3.66666666666667,2.75,2.08333333333333,1.70649494784683,3.10971106142411,1.22435097492954,1.26621873080373,0.776001034523786,-0.734376462447456,-0.770768712521186,-0.732506918059589,"-20.8196991447306","-15.9923558868971","1.77848649449787","-0.814881113916363"
"sub-CH05NK28",2.84615384615385,81,2.85714285714286,54,47,2.25,2,24,8,NA,3.5,3.58333333333333,3.08333333333333,3.33333333333333,2.25,-0.885936609913055,1.07349457707729,-0.202384516314001,-0.475068691626031,-0.181032404576743,-0.298350841372086,-0.171972616466838,-0.304436888081056,"9.66358105118087","-1.90248847269769","-0.342421460346985","-0.277667126194749"
"sub-CH06IM14",3,93,2.71428571428571,51,49,2.75,1,25,10,NA,3.41666666666667,3.75,4.41666666666667,4.08333333333333,2.25,2.19802526990786,-0.341458661306529,0.244732361837521,0.302400353263253,0.521803166118487,-0.218946965154592,-0.208990868034976,-0.215549756930378,"-3.06836983740808","-2.64748074375173","0.0984737235335308","-0.186166780445147"
"sub-CH06IN24",3.07692307692308,92,3.28571428571429,71,50,3.5,2,24,14,16,3.25,3.08333333333333,3.66666666666667,3.83333333333333,3,0.278079666813368,-0.298351974692076,-0.00522647621534193,0.0360988273137678,0.0241954699734519,0.642708618607013,0.706754071198223,0.632081196631397,"-1.51432432950536","12.4243490339396","-0.00820344478226046","0.633666267966127"
"sub-CH06LI22",3.07692307692308,83,3.14285714285714,59,51,3,1,23,17,NA,2.83333333333333,4.25,4.08333333333333,3.16666666666667,3.16666666666667,0.0551711439757988,-1.64864518315421,-0.34077568934624,-0.329323995848378,-0.173839910969075,0.223307647517069,0.237617108108245,0.223523937016158,"7.49786760691696","4.49823714973457","-0.559631728523284","0.247388774565255"
"sub-CH06ND30",3.69230769230769,93,3.42857142857143,59,36,3.25,1,21,17,6,3.41666666666667,3.33333333333333,3.33333333333333,4.16666666666667,3.5,0.595250311047937,-0.962721907269532,0.201267791378036,0.330365585371769,0.100884401940763,0.134449782783512,-0.0362821879050913,0.138332630907201,"-2.61095367147543","-5.92588342367653","0.320380308423686","0.00271511023723973"
"sub-CH06NK10",3.15384615384615,100,2.71428571428571,44,40,3,1,23,16,NA,4.41666666666667,2.91666666666667,4.58333333333333,4.25,2.33333333333333,2.24657411491897,3.10971106142411,0.89182028020585,0.766771005176525,0.908293375652668,-0.442068826186,-0.642445661056001,-0.426557464842557,"-10.4919051764394","-13.920426932236","1.17301422060599","-0.495659836964733"
"sub-CH06NK12",3,87,1.42857142857143,27,23,1,2,24,13,0,4.41666666666667,4.08333333333333,4.5,2.83333333333333,1,2.46806485344393,2.38068109892497,0.598315814697976,0.28910927489105,0.821459480715919,-2.23857959665668,-2.13566633868715,-2.24260227813632,"2.51320479611394","-38.0385611404758","0.375149043235459","-2.33695197121988"
"sub-CH06RT03",3,84,3.28571428571429,51,45,2.75,1,20,12,NA,3.83333333333333,3.75,3.16666666666667,3.91666666666667,2.5,1.33279227753205,0.719756267481334,0.161923672665445,0.00611998733159245,0.453356501033769,-0.0584717257903214,-0.17389476323698,-0.0482443042773117,"5.44848595384789","-5.41689366928127","0.0797072447326339","-0.0852637043319323"
"sub-CH06UT07",3.07692307692308,92,3,51,39,3.25,1,22,13,NA,3.58333333333333,4.5,2.83333333333333,3.66666666666667,2.75,-1.05983387897578,-1.02738193719121,-0.300504120256525,-0.1897618977429,-0.399118981019216,-0.134587631516372,-0.336177278492685,-0.123283203197752,"-0.649462002810546","-9.58311963809654","-0.341173630434375","-0.21831081333728"
"sub-CH07AD15",3.46153846153846,91,3.71428571428571,56,55,3.5,1,26,19,1,3.91666666666667,4.75,4.41666666666667,4.08333333333333,3.58333333333333,3.80033782000405,1.38412620005879,0.878359480116245,0.758129026845131,1.16857680564904,0.636427171801693,0.414864634080697,0.656215842090918,"-2.25879563995186","5.16343819554573","0.832417708782799","0.662439289719903"
"sub-CH07DO06",2.84615384615385,78,2.14285714285714,37,35,2.25,1,30,9,0,3.75,3.33333333333333,3.83333333333333,3.5,2.08333333333333,1.70461475477049,1.71631116634752,0.222589821840511,-0.15330954515328,0.584300945925517,-1.13818729474937,-1.21100339668868,-1.12992218446627,"11.2647728338435","-22.458002700664","-0.108195322490022","-1.19211356887383"
"sub-CH07IM11",2.69230769230769,70,2.42857142857143,27,24,1.75,2,29,16,3,2.83333333333333,3.33333333333333,3.75,4,1.58333333333333,-2.19510645488766,-1.73485855638312,-0.986977367042743,-1.14425986698485,-0.735025052056013,-1.57121793151568,-1.80450514516687,-1.55211711457646,"20.7317682098213","-37.2915481967307","-1.45437613336982","-1.72020401797764"
"sub-CH07LF13",2.76923076923077,95,2.71428571428571,30,31,2,1,20,10,0,3.75,2.5,4.33333333333333,3.83333333333333,1.91666666666667,-0.117308340774321,1.05194123377006,0.046232733995667,0.0250531453605429,0.0515797028963425,-1.18593825910663,-1.44028538683457,-1.16299927311609,"-4.48526692205649","-30.2534351725582","0.150976864401534","-1.2899049320081"
"sub-CH07LF18",3,79,2.85714285714286,60,47,3.75,2,23,12,NA,2.5,3.16666666666667,3.58333333333333,4.25,2.91666666666667,-3.7738534746346,-2.37767514565335,-1.07164630020432,-1.04411625800234,-1.24455311924544,0.281941949461974,0.18321739924548,0.285243008968021,"13.1063397131208","2.44929721693771","-1.28353808775016","0.26043073508691"
"sub-CH07NK17",3,83,3.42857142857143,76,65,3.75,1,26,20,22,2.58333333333333,4.66666666666667,2.75,4,3.91666666666667,-1.80301642468892,-2.04549017936462,-0.693395995623745,-0.649035484162889,-0.720459629797189,1.15816132623096,1.3009887028714,1.14807981919004,"8.71993372110049","26.4603487404135","-0.951541234882031","1.27249806329329"
"sub-CH07RK18",3.15384615384615,95,3,73,74,4.25,1,22,17,17,3.75,4.25,4.33333333333333,3.75,3.58333333333333,2.41905359966909,1.38412620005879,0.608389134291252,0.542638967163178,0.758691230685537,1.25241443909617,1.36813357500648,1.24950919409115,"-5.31655048141317","30.5800339848221","0.627552474372332","1.4545621026031"
"sub-CH07US17",2.46153846153846,77,3,47,51,3,1,30,10,4,3.58333333333333,4,4,3.91666666666667,2.5,-1.87041503834772,0.033832991596652,-0.693158519897126,-0.921887041780725,-0.539131687141125,-0.0588500107549918,-0.205858671295342,-0.0417465370852317,"13.8382580211604","-4.10684769227339","-0.955951070612782","-0.0240629655208245"
"sub-CH08LO21",3.46153846153846,92,2.42857142857143,56,38,1.75,2,24,9,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,2.08333333333333,0.941627064860783,-0.341458661306529,0.23577189618036,0.276319229516046,0.211461016160413,-0.766006163976611,-0.472011683620199,-0.789275499131018,"-1.68371644031773","-6.76080658062049","0.16641883864375","-0.798472634675742"
"sub-CH09AS13",3.38461538461538,119,3,51,43,3,1,24,16,2,4,4,4.25,4.33333333333333,2.5,2.10376314851086,0.762862954095787,0.861497096442465,1.25580469190827,0.639281642119926,-0.136648488494414,-0.263810047064331,-0.127590116900798,"-28.4775940287154","-6.80765342230652","1.48789015356778","-0.17701302786291"
"sub-CH09EN08",2.46153846153846,69,2.57142857142857,44,51,3,2,29,11,0,3.08333333333333,3.16666666666667,3.66666666666667,4.58333333333333,2.83333333333333,-1.38264510243938,-1.04893528049844,-0.876652601017973,-1.14606710113886,-0.526540423426369,-0.292013923367361,-0.407797335051076,-0.275993887851891,"21.7733279309302","-6.26813159545769","-1.47756061715229","-0.238855142759422"
"sub-CH09WE03",2.84615384615385,94,2.85714285714286,59,51,2.75,2,22,11,NA,3,3.5,4.08333333333333,3.41666666666667,2.58333333333333,1.82996317882211,-1.00582859388398,0.0486082685745794,0.195339115910014,0.372236432070713,0.0269049432610726,0.146382875814948,0.020130332894225,"-3.99285240198807","4.48244456505182","-0.0492197876659473","0.0690167440428535"
