Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.

,Offer1,1,9,1,,,,,,,,,,,,,21,2,65,0,,,,,,,,,,,,,0.5871450491629603,424.2742291979339,None,9_1_V1.png,,,,,,,,,,,200,424.89146214285756,None,4,0.1905629527864221,424.89146214285756,None,424.89146214285756,None,None,None,425.1249478936479,None,425.1249478936479,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,22,0,66,1,,,,,,,,,,,,,0.571254200751344,426.1257999728714,None,5_5_V1.png,,,,,,,,,,,205,426.7263092951307,None,4,0.21965441346947046,426.7263092951307,None,426.7263092951307,None,None,None,426.9765533818445,None,426.9765533818445,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,22,1,67,2,,,,,,,,,,,,,0.5469912939004681,427.97738008246597,None,7_3_V1.png,,,,,,,,,,,208,428.54454279867605,None,4,0.18939582886741846,428.54454279867605,None,428.54454279867605,None,None,None,428.77805538660687,None,428.77805538660687,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,,,,,22,2,68,0,,,,,,,,,,,,,0.5118186083922778,429.77890775753804,None,9_1_V1.png,,,,,,,,,,,209,430.3126949886009,None,4,0.3252005128233577,430.3126949886009,None,430.3126949886009,None,None,None,430.6796925980543,None,430.6796925980543,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,23,0,69,2,,,,,,,,,,,,,0.6913854767628167,431.68052863333287,None,7_3_V1.png,,,,,,,,,,,212,432.3977999378658,None,4,0.23704692269893712,432.3977999378658,None,432.3977999378658,None,None,None,432.6647060968444,None,432.6647060968444,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,,,,,23,1,70,0,,,,,,,,,,,,,0.6443284327087578,433.6655465077438,None,9_1_V1.png,,,,,,,,,,,213,434.3327808382801,None,4,0.24903174804603623,434.3327808382801,None,434.3327808382801,None,None,None,434.61635286172896,None,434.61635286172896,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,23,2,71,1,,,,,,,,,,,,,0.5125134674816132,435.61721106681944,None,5_5_V1.png,,,,,,,,,,,218,436.1509936305538,None,4,0.22075911186584563,436.1509936305538,None,436.1509936305538,None,None,None,436.40120825475424,None,436.40120825475424,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,24,0,72,2,,,,,,,,,,,,,0.5114764247884742,437.40205800031254,None,7_3_V1.png,,,,,,,,,,,221,437.9358443562505,None,4,0.21389638821710832,437.9358443562505,None,437.9358443562505,None,None,None,438.1860656897352,None,438.1860656897352,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,,,,,24,1,73,0,,,,,,,,,,,,,0.5000922270831522,439.18691601870887,None,9_1_V1.png,,,,,,,,,,,222,439.7040198828199,None,4,0.18968637008765654,439.7040198828199,None,439.7040198828199,None,None,None,439.93754676444587,None,439.93754676444587,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,24,2,74,2,,,,,,,,,,,,,0.6954378257184407,440.9384020524576,None,7_3_V1.png,,,,,,,,,,,225,441.6556745238231,None,4,0.21298596738415654,441.6556745238231,None,441.6556745238231,None,None,None,441.9058862309412,None,441.9058862309412,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.9067441443258,452.91525385163914,442.9067441443258,452.91525385163914,,,,,,,,,
