SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,Response.rt,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,,,,,,Stimuli/neutral_35.png,neutral_man_woman,Stimuli/neutral_34.png,blue,4,4,43,0,0,0,0,,,,,0,0,0,68,,,,,1.187069119842799,1.0544417077249144,213.7663928000111,None,213.7663928000111,None,,,,,,,,space,15.341149399988353,214.9860711000074,216.05131690000417,216.03457680001156,217.03543560000253,None,0,1.0598957400070503,2.0608242400048766,216.03457680001156,217.03543560000253,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/woman_85.png,erotic_woman,Stimuli/woman_81.png,green,1,7,78,0,0,0,0,,,,,0,1,1,88,,,,,1.2192873810646745,1.1893472057556815,217.05383540000184,None,217.05383540000184,None,,,,,,,,,,218.31206060000113,219.5045766000112,219.4875702999998,220.48829530000512,None,0,1.1991192099958425,2.199811709986534,219.4875702999998,220.48829530000512,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/man_15.png,erotic_man,Stimuli/man_11.png,green,1,3,31,0,0,0,0,,,,,0,2,2,90,,,,,1.246216398648093,1.1523781861876992,220.51043239999854,None,220.51043239999854,None,,,,,,,,,,221.77698680000321,222.9408584000048,222.92366480000783,None,1,1,1.157590840011835,None,222.92366480000783,None,False,None,None,None,0.7702432999940356,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_65.png,neutral_man_woman,Stimuli/neutral_64.png,blue,4,4,46,0,0,0,0,,,,,0,3,3,16,,,,,1.1036786739257431,1.232897868648128,223.73241640000197,None,223.73241640000197,None,,,,,,,,,,224.86811229999876,226.1100790000055,226.09294130001217,227.09378870000364,None,0,1.246121009986382,2.2469517099962104,226.09294130001217,227.09378870000364,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/tree_35.png,tree,Stimuli/tree_33.png,yellow,3,1,13,0,0,0,0,,,,,0,4,4,80,,,,,1.1007083967734363,1.4785880817456138,227.11242180000409,None,227.11242180000409,None,,,,,,,,,,228.24998659999983,229.72937070000626,229.72937070000626,230.73013979999814,None,0,1.490001440019114,2.4907272400159854,229.72937070000626,230.73013979999814,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/man_45.png,erotic_man,Stimuli/man_43.png,yellow,3,3,34,0,0,0,0,,,,,0,5,5,10,,,,,1.360521285744826,1.1794555568415594,230.75094260000333,None,230.75094260000333,None,,,,,,,,,,232.14867480000248,233.33269540000765,233.31572560001223,None,3,1,1.1817415099940263,None,233.31572560001223,None,False,None,None,None,0.6550747000001138,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/woman_65.png,erotic_woman,Stimuli/woman_61.png,green,1,7,76,0,0,0,0,,,,,0,6,6,35,,,,,1.058379590964578,1.1931101361227041,234.00727110001026,None,234.00727110001026,None,,,,,,,,,,235.08882420000737,236.2844688000041,236.2844688000041,237.28566280000086,None,0,1.206051640008809,2.2073299400071846,236.2844688000041,237.28566280000086,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/man_15.png,erotic_man,Stimuli/man_14.png,blue,4,3,31,0,0,0,0,,,,,0,7,7,0,,,,,1.1029362611219482,1.229762996532532,237.30622880000737,None,237.30622880000737,None,,,,,,,,,,238.45817850000458,239.68759320001118,239.68759320001118,240.68856249999953,None,0,1.2404258099995786,2.2413895099889487,239.68759320001118,240.68856249999953,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_couple_35.png,neutral_couple,Stimuli/neutral_couple_32.png,red,2,5,53,0,0,0,0,,,,,0,8,8,95,,,,,1.3960353018814164,1.205709571764286,240.7073473000055,None,240.7073473000055,None,,,,,,,,,,242.14122400000633,243.35770240001148,243.3407026000059,None,2,1,1.2135532099928241,None,243.3407026000059,None,False,None,None,None,0.8111203000007663,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/couple_25.png,erotic_couple,Stimuli/couple_21.png,green,1,2,22,0,0,0,0,,,,,0,9,9,25,,,,,1.368201537972773,1.0992897208325059,244.17741780000506,None,244.17741780000506,None,,,,,,,,,,245.58223970000108,246.6938669000083,246.67680180000025,247.67757460000576,None,0,1.1034631399961654,2.1042219399969326,246.67680180000025,247.67757460000576,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
