SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,Trigger_Picture,Trigger_Target,Trigger_Response,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset2,3,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,1,1,1,1,3,7,3,,,,,,,,,1.3800326323868335,1.046802248779798,504.4440648350319,None,504.4440648350319,None,505.845254420472,506.89615076638984,506.8627878246898,None,3,1,0.20506638546066824,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,1,1,1,2,0,8,3,,,,,,,,,1.1062114780503087,1.024081845747367,507.0963184985212,None,507.0963184985212,None,508.2306185523412,509.2648312395995,509.23146888131487,None,3,1,0.4913168722487171,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,1,1,1,2,1,9,1,,,,,,,,,1.0883717137340088,1.1316403308239267,509.74857770446215,None,509.74857770446215,None,510.8661932244977,512.0004964871059,511.96714317177066,None,2,1,0.5076032245415263,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,1,1,1,2,2,10,2,,,,,,,,,1.1115002366696398,1.0408051210856573,512.5009184428036,None,512.5009184428036,None,513.6352190800408,514.6861122171704,514.6527478169301,None,1,1,0.4579078406750341,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,1,1,1,2,3,11,0,,,,,,,,,1.414015739775266,1.4873510673554278,515.136493990085,None,515.136493990085,None,516.5710462255174,518.0723246360576,518.038968987059,None,4,1,0.24564064193327795,,,,,,,,,,,,,,,,,,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/man_85.png,erotic_man,Stimuli/man_81.png,green,1,3,38,0,1,1,1,,,,,0,0,0,39,,,,,1.2842194392709916,1.4593655270166064,518.3725814849986,None,518.3725814849986,None,,,,,,,,None,,38,99,1,519.940592196519,521.4084974555772,521.3751345138771,None,1,1,0.8103760554349719,1.4634245066845324,None,521.3751345138771,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_couple_15.png,neutral_couple,Stimuli/neutral_couple_11.png,green,1,5,51,0,1,1,1,,,,,0,1,1,63,,,,,1.294085483643605,1.2673095712007125,522.2091774270484,None,522.2091774270484,None,,,,,,,,,,51,99,1,523.5770069878672,524.8447506406646,524.828072232749,None,1,1,0.915343697721255,1.277766683149821,None,524.828072232749,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/woman_75.png,erotic_woman,Stimuli/woman_73.png,yellow,3,7,77,0,1,1,1,,,,,0,2,2,62,,,,,1.2254436141509162,1.1839469579185509,525.7621998871091,None,525.7621998871091,None,,,,,,,,,,77,99,1,527.0633076484391,528.247646134796,528.2309662683401,None,3,1,0.5703785057830828,1.1946968934553297,None,528.2309662683401,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/woman_55.png,erotic_woman,Stimuli/woman_51.png,green,1,7,75,0,1,1,1,,,,,0,3,3,0,,,,,1.0134048528386583,1.1087687513449647,528.8314773408474,None,528.8314773408474,None,,,,,,,,,,75,99,1,529.9324144529674,531.0500425164482,531.0166687815508,None,1,1,0.481650834211905,1.113974186755513,None,531.0166687815508,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/positiv_85.png,positive_man_woman,Stimuli/positiv_81.png,green,1,6,68,0,1,1,1,,,,,0,4,4,90,,,,,1.1026210721751624,1.1984822140088616,531.5170939460368,None,531.5170939460368,None,,,,,,,,,,68,99,1,532.7181230920469,533.9191478624361,533.885777336327,None,1,1,0.45648109658941394,1.1994969494644465,None,533.885777336327,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
